title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Cache-timing attacks on AES|http://scraperproxy.d8tabit.net/cr.yp.to/antiforgery/cachetiming-20050414.pdf|2005|314|24|12694527333435458779|http://scraperproxy.d8tabit.net/cr.yp.to/antiforgery/cachetiming-20050414.pdf|http://scholar.google.com/scholar?cites=12694527333435458779&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12694527333435458779&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract. This paper demonstrates complete AES key recovery from known-plaintext timings of a network server on another computer. This attack should be blamed on the AES design, not on the particular AES library used by the server; it is extremely difficult to write constant ...
Curve25519: new Diffie-Hellman speed records|http://link.springer.com/chapter/10.1007/11745853_14|2006|153|22|5125948190741830038|None|http://scholar.google.com/scholar?cites=5125948190741830038&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5125948190741830038&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract This paper explains the design and implementation of a high-security elliptic-curve-Diffie-Hellman function achieving record-setting speeds: eg, 832457 Pentium III cycles (with several side benefits: free key compression, free key validation, and state-of-the-art timing- ...
The Poly1305-AES message-authentication code|http://link.springer.com/chapter/10.1007/11502760_3|2005|117|20|1152116581640817931|None|http://scholar.google.com/scholar?cites=1152116581640817931&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=1152116581640817931&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract Poly1305-AES is a state-of-the-art message-authentication code suitable for a wide variety of applications. Poly1305-AES computes a 16-byte authenticator of a variable-length message, using a 16-byte AES key, a 16-byte additional key, and a 16-byte nonce. The  ...
Circuits for integer factorization: a proposal|http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf|2001|74|11|4656639988458306348|http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf|http://scholar.google.com/scholar?cites=4656639988458306348&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=4656639988458306348&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract. The number field sieve takes time 1de01hhhiol1o on a generalpurpose computer with 0dey0hhhiol1o bits of memory; here is a particular subexponential function of the input size. It takes the same time on a parallel trial-division machine, such as Cracker or  ...
Multidigit multiplication for mathematicians|http://scholar.google.com/ftp://164.41.45.4/pub/misc/bernstein/pub/papers/m3.ps|2001|71|6|3639797899326555781|None|http://scholar.google.com/scholar?cites=3639797899326555781&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3639797899326555781&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract. This paper surveys techniques for multiplying elements of various commutative rings. It covers Karatsuba multiplication, dual Karatsuba multiplication, Toom multiplication, dual Toom multiplication, the FFT trick, the twisted FFT trick, the split-radix FFT trick,  ...
Pippenger's exponentiation algorithm|http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.25.786|2002|45|0|14092972285251406176|None|http://scholar.google.com/scholar?cites=14092972285251406176&as_sdt=2005&sciodt=0,5&hl=en|None|None|Abstract Pippenger's exponentiation algorithm computes a power, or a product of powers, or a sequence of powers, or a sequence of products of powers, with very few multiplications. Pippenger's algorithm was published twenty-ve years ago, but it is still not widely  ...
Proving primality after Agrawal-Kayal-Saxena|http://www.dm.unito.it/~cerruti/ac/bernstein-aks.pdf|2003|43|3|11487875762652313810|http://www.dm.unito.it/~cerruti/ac/bernstein-aks.pdf|http://scholar.google.com/scholar?cites=11487875762652313810&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=11487875762652313810&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|. Theorem 2.1 is the original Agrawal-Kayal-Saxena theorem.. Theorem 2.2 is a special case of Lenstra's variant.. Theorem 2.3 is the general case of Lenstra's variant. For the reader's convenience, the theorems are arranged in order of difficulty, and a separate proof is  ...
Comments on perrin's “effective use and misuse of performance measurement”|http://www.sciencedirect.com/science/article/pii/S1098214099801106|2000|42|2|7457375043211399593|None|http://scholar.google.com/scholar?cites=7457375043211399593&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=7457375043211399593&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Perrin (1998) has provided an interesting and necessary discussion of performance measurement that is surely needed in the evaluation community. As an experienced evaluator, Pert-in's view on the pitfalls of performance measurement, and steps that can  ...
Local government measurement use to focus on performance and results|http://www.sciencedirect.com/science/article/pii/S0149718900000501|2001|38|6|14765485423010250387|None|http://scholar.google.com/scholar?cites=14765485423010250387&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14765485423010250387&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|This paper discusses research results from five case studies of local governments with extensive experience in developing and using performance measures to support program monitoring and improved service performance. The research was sponsored by the  ...
Stronger security bounds for Wegman-Carter-Shoup authenticators|http://link.springer.com/chapter/10.1007/11426639_10|2005|36|20|6276868332682224745|None|http://scholar.google.com/scholar?cites=6276868332682224745&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6276868332682224745&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Abstract Shoup proved that various message-authentication codes of the form (n, m)↦ h (m)+ f (n) are secure against all attacks that see at most 1/ϵ authenticated messages. Here m is a message; n is a nonce chosen from a public group G; f is a secret uniform random  ...
Factoring into coprimes in essentially linear time|http://www.sciencedirect.com/science/article/pii/S0196677404000732|2005|34|13|13938469549185274441|None|http://scholar.google.com/scholar?cites=13938469549185274441&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13938469549185274441&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2006|None|Let S be a finite set of positive integers. A “coprime base for S” means a set P of positive integers such that (1) each element of P is coprime to every other element of P and (2) each element of S is a product of powers of elements of P. There is a natural coprime base for S ...
Salsa20|None|2005|34|0|9621428747260123483|None|http://scholar.google.com/scholar?cites=9621428747260123483&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
