title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
SYN cookies|None|1996|209|0|11565187267146778866|None|http://scholar.google.com/scholar?cites=11565187267146778866&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
TRANSIENT EFFECTS OF ACQUISITION HISTORY ON GENERALIZATION IN A MATCHING‐TO‐SAMPLE TASK|http://onlinelibrary.wiley.com/doi/10.1901/jeab.1991.56-155/abstract|1991|66|8|5264388492704312186|None|http://scholar.google.com/scholar?cites=5264388492704312186&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5264388492704312186&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|This study examined the role of learning history on the acquisition of a matching-to-sample task. Twelve preschool children learned four stimulus classes through instructions, shaping, or imitation. After reaching criterion, the subjects were exposed to changed discrimination  ...
A general number field sieve implementation|http://link.springer.com/chapter/10.1007/BFb0091541|1993|45|3|5155590512166468765|None|http://scholar.google.com/scholar?cites=5155590512166468765&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5155590512166468765&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Abstract The general number field sieve is the asymptotically fastest—and by far most complex—factoring algorithm known. We have implemented this algorithm, including five practical improvements: projective polynomials, the lattice sieve, the large prime variation,  ...
A randomised, blinded, trial of clopidogrel versus aspirin in patients at risk of ischaemic events (CAPRIE). CAPRIE Steering Committee.|http://europepmc.org/abstract/MED/8918275|1996|4588|7|13225801669131666686|None|http://scholar.google.com/scholar?cites=13225801669131666686&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13225801669131666686&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|BACKGROUND: Many clinical trials have evaluated the benefit of long-term use of antiplatelet drugs in reducing the risk of clinical thrombotic events. Aspirin and ticlopidine have been shown to be effective, but both have potentially serious adverse effects.  ...
MOTIVATIONAL EFFECTS OF SMOKED MARIJUANA: BEHAVIORAL CONTINGENCIES AND LOW‐PROBABILITY ACTIVITIES|http://onlinelibrary.wiley.com/doi/10.1901/jeab.1990.53-5/abstract|1990|37|8|10590769960601436394|None|http://scholar.google.com/scholar?cites=10590769960601436394&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=10590769960601436394&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Six adult male research volunteers, in two groups of 3 subjects each, lived in a residential laboratory for 15 days. All contact with the experimenters was through a networked computer system, and subjects' behavior was monitored continuously and recorded. During the first  ...
Motivational effects of smoked marijuana: Behavioral contingencies and high-probability recreational activities|http://www.sciencedirect.com/science/article/pii/0091305789902876|1989|35|5|15287451474686169702|None|http://scholar.google.com/scholar?cites=15287451474686169702&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=15287451474686169702&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Abstract Fifteen adult male research volunteers, in five groups of three subjects each, lived in a residential laboratory for up to 20 days. All contact with the experimenters was through a networked computer system, and subjects' behaviors were monitored continuously and  ...
The utility of verbal and behavioral assessments of value|http://onlinelibrary.wiley.com/doi/10.1901/jeab.1990.54-173/abstract|1990|30|8|12090955268833008684|None|http://scholar.google.com/scholar?cites=12090955268833008684&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12090955268833008684&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Subjects lived in a laboratory apartment for up to 30 days, engaging in ordinary activities such as reading, sewing, and artwork. The amount of time devoted to each activity was recorded and compared with periodic verbal ratings of the amount oftime devoted to the  ...
A departmental system for balancing the development and evaluation of college teaching: A commentary on Cavanagh|http://link.springer.com/article/10.1007/BF01185799|1996|30|3|6762495033141963105|None|http://scholar.google.com/scholar?cites=6762495033141963105&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6762495033141963105&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Abstract The frank identification of specific areas for improvement is a central feature of a program to develop teaching skills in college teachers, but the preparation of such statements is not encouraged in a strongly evaluative climate. A useful mix of  ...
A noniterative 2-adic statement of the 3𝑁+ 1 conjecture|http://www.ams.org/proc/1994-121-02/S0002-9939-1994-1186982-9/|1994|29|5|991921078422795569|None|http://scholar.google.com/scholar?cites=991921078422795569&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=991921078422795569&hl=en&as_sdt=0,5&as_ylo=1989&as_yhi=1996|None|Abstract: Associated with the $ 3N+ 1$ problem is a permutation $\ Phi $ of the 2-adic integers. The $ 3N+ 1$ conjecture is equivalent to the conjecture that 3Q is an integer if $\ Phi (Q) $ is a positive integer. We state a new definition of $\ Phi $. To wit: Q and $ N=\ Phi  ...
Prehistoric subsistence on the southern New England coast: The record from Narragansett Bay|None|1993|29|0|10902700674465023111|None|http://scholar.google.com/scholar?cites=10902700674465023111&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
